2.133	0.575
2.166	0.574
2.199	0.573
2.233	0.573
2.266	0.572
2.299	0.572
2.333	0.571
2.366	0.570
2.399	0.569
2.433	0.569
2.466	0.569
2.499	0.568
2.533	0.568
2.566	0.568
2.599	0.567
2.633	0.567
2.666	0.566
2.699	0.565
2.733	0.564
2.766	0.564
2.799	0.562
2.833	0.561
2.866	0.560
2.899	0.559
2.933	0.558
2.966	0.557
2.999	0.556
3.033	0.555
3.066	0.555
3.099	0.554
3.133	0.554
3.166	0.552
3.199	0.551
3.233	0.550
3.266	0.550
3.299	0.549
3.333	0.547
3.366	0.546
3.399	0.545
3.433	0.544
3.466	0.542
3.499	0.541
3.533	0.540
3.566	0.538
3.599	0.537
3.632	0.536
3.666	0.534
3.699	0.533
3.732	0.531
3.766	0.530
3.799	0.528
3.832	0.527
3.866	0.525
3.899	0.524
3.932	0.522
3.966	0.521
3.999	0.520
4.032	0.518
4.066	0.517
4.099	0.515
4.132	0.513
4.166	0.511
4.199	0.510
4.232	0.508
4.266	0.506
4.299	0.505
4.332	0.502
4.366	0.501
4.399	0.499
4.432	0.497
4.466	0.496
4.499	0.494
4.532	0.492
4.566	0.490
4.599	0.488
4.632	0.486
4.666	0.485
4.699	0.482
4.732	0.480
4.766	0.479
4.799	0.477
4.832	0.475
4.866	0.473
4.899	0.471
4.932	0.469
4.966	0.466
4.999	0.464
5.032	0.462
5.065	0.460
5.099	0.457
5.132	0.455
5.165	0.453
5.199	0.450
5.232	0.448
5.265	0.445
5.299	0.443
5.332	0.441
5.365	0.438
5.399	0.436
5.432	0.434
5.465	0.431
5.499	0.429
5.532	0.426
5.565	0.424
5.599	0.421
5.632	0.418
5.665	0.415
5.699	0.413
5.732	0.410
5.765	0.408
5.799	0.405
5.832	0.402
5.865	0.400
5.899	0.397
5.932	0.394
5.965	0.391
5.999	0.388
6.032	0.385
6.065	0.382
6.099	0.380
6.132	0.377
6.165	0.374
6.199	0.371
6.232	0.368
6.265	0.365
6.299	0.362
6.332	0.359
6.365	0.356
6.398	0.353
6.432	0.351
6.465	0.348
6.498	0.344
6.532	0.341
6.565	0.337
6.598	0.334
6.632	0.331
6.665	0.327
6.698	0.324
6.732	0.322
6.765	0.318
6.798	0.315
6.832	0.311
6.865	0.307
6.898	0.305
6.932	0.301
6.965	0.298
6.998	0.295
7.032	0.291
7.065	0.287
7.098	0.285
7.132	0.281
7.165	0.277
7.198	0.273
7.232	0.270
7.265	0.267
7.298	0.263
7.332	0.260
7.365	0.257
7.398	0.253
7.432	0.249
7.465	0.245
7.498	0.242
7.532	0.238
7.565	0.234
7.598	0.231
7.632	0.227
7.665	0.222
7.698	0.219
7.732	0.215
7.765	0.211
7.798	0.207
7.831	0.202
7.865	0.198
7.898	0.194
7.931	0.190
7.965	0.185
7.998	0.182
8.031	0.178
8.065	0.173
8.098	0.170
8.131	0.166
8.165	0.162
8.198	0.157
8.231	0.153
8.265	0.149
8.298	0.145
8.331	0.140
8.365	0.137
8.398	0.132
8.431	0.129
8.465	0.125
8.498	0.121
8.531	0.116
8.565	0.112
8.598	0.107
8.631	0.103

