	mass A		
t	y	vy	
0.000	3.354	0
0.017	3.333	-1.379
0.033	3.308	-1.541
0.050	3.281	-1.573
0.067	3.255	-1.641
0.083	3.227	-1.786
0.100	3.196	-1.787
0.117	3.167	-1.888
0.133	3.133	-2.102
0.150	3.097	-2.079
0.167	3.064	-2.073
0.184	3.028	-2.119
0.200	2.993	-2.052
0.217	2.959	-2.118
0.234	2.922	-2.254
0.250	2.884	-2.207
0.267	2.848	-2.232
0.284	2.809	-2.345
0.300	2.770	-2.261
0.317	2.734	-2.337
0.334	2.692	-2.438
0.350	2.653	-2.293
0.367	2.616	-2.358
0.384	2.574	-2.479
0.400	2.533	-2.369
0.417	2.495	-2.430
0.434	2.452	-2.611
0.450	2.408	-2.492
0.467	2.369	-2.530
0.484	2.323	-2.609
0.500	2.282	-2.488
0.517	2.240	-2.582
0.534	2.196	-2.701
0.551	2.150	-2.523
0.567	2.111	-2.646
0.584	2.062	-2.810
0.601	2.018	-2.559
0.617	1.977	-2.645
0.634	1.929	-2.823
0.651	1.882	-2.760
0.667	1.837	-2.763
0.684	1.790	-2.803
0.701	1.744	-2.592
0.717	1.704	-2.732
0.734	1.653	-2.889
0.751	1.607	-2.745
0.767	1.561	-2.880
0.834	1.367	-2.865
0.851	1.319	-2.819
0.868	1.273	-2.815
0.884	1.225	-2.818
0.901	1.179	-2.780
0.918	1.132	-2.894
0.934	1.083	-2.741
0.951	1.041	-2.662
0.968	0.994	-2.974
0.984	0.941	-2.016
