	mass A		
t	y	vy	
0.000	3.311	0
0.017	3.310	-0.084
0.033	3.308	-0.154
0.050	3.305	-0.183
0.067	3.302	-0.235
0.083	3.297	-0.297
0.100	3.292	-0.346
0.117	3.286	-0.468
0.133	3.276	-0.603
0.150	3.266	-0.683
0.167	3.254	-0.853
0.183	3.237	-1.038
0.200	3.219	-1.105
0.217	3.200	-1.235
0.233	3.178	-1.274
0.250	3.158	-1.266
0.267	3.136	-1.419
0.283	3.111	-1.428
0.300	3.088	-1.416
0.317	3.063	-1.465
0.333	3.039	-1.537
0.350	3.012	-1.597
0.367	2.986	-1.680
0.383	2.956	-1.701
0.400	2.929	-1.698
0.417	2.900	-1.836
0.433	2.868	-1.872
0.450	2.837	-1.870
0.467	2.806	-1.901
0.483	2.774	-1.914
0.500	2.742	-1.892
0.517	2.711	-1.958
0.533	2.677	-1.917
0.550	2.647	-1.765
0.567	2.618	-1.867
0.583	2.585	-1.903
0.600	2.554	-1.813
0.617	2.524	-1.783
0.633	2.495	-1.825
0.650	2.463	-1.880
0.667	2.432	-1.859
0.683	2.401	-1.922
0.700	2.368	-1.899
0.717	2.338	-1.874
0.733	2.306	-1.946
0.750	2.273	-1.866
0.767	2.244	-1.835
0.783	2.212	-1.961
0.800	2.178	-1.940
0.817	2.147	-1.843
0.833	2.117	-1.886
0.850	2.085	-1.938
0.867	2.052	-1.881
0.883	2.022	-1.903
0.900	1.989	-1.905
0.917	1.958	-1.871
0.933	1.926	-1.954
0.950	1.893	-1.938
0.967	1.862	-1.909
0.983	1.830	-1.970
1.000	1.796	-1.959
1.017	1.764	-1.896
1.033	1.733	-1.975
1.050	1.698	-1.980
1.067	1.667	-1.887
1.083	1.635	-1.952
1.100	1.602	-2.023
1.117	1.568	-1.963
1.133	1.536	-1.988
1.150	1.502	-2.081
1.167	1.467	-2.005
