	mass B		
t	y	vy	
0.000	3.341	0
0.017	3.335	-0.389
0.033	3.328	-0.577
0.050	3.316	-0.767
0.067	3.302	-0.947
0.083	3.284	-1.101
0.100	3.266	-1.178
0.117	3.245	-1.283
0.133	3.223	-1.418
0.150	3.198	-1.473
0.167	3.174	-1.614
0.183	3.144	-1.709
0.200	3.117	-1.600
0.217	3.091	-1.652
0.233	3.062	-1.728
0.250	3.033	-1.722
0.267	3.004	-1.827
0.283	2.972	-1.992
0.300	2.938	-1.992
0.317	2.906	-2.079
0.333	2.869	-2.286
0.350	2.830	-2.242
0.367	2.794	-2.212
0.383	2.756	-2.293
0.400	2.718	-2.207
0.417	2.682	-2.252
0.433	2.643	-2.300
0.450	2.606	-2.135
0.467	2.571	-2.178
0.483	2.533	-2.247
0.500	2.496	-2.117
0.517	2.462	-2.205
0.533	2.423	-2.389
0.550	2.383	-2.442
0.567	2.342	-2.402
0.583	2.303	-2.287
0.600	2.265	-2.217
0.617	2.229	-2.371
0.633	2.186	-2.431
0.650	2.148	-2.272
0.667	2.110	-2.305
0.683	2.071	-2.397
0.700	2.031	-2.369
