	mass D		
t	y	vy	
0.635 	3.647	0
0.651	3.643	-0.145
0.667	3.639	-0.180
0.684	3.637	-0.174
0.701	3.634	-0.173
0.717	3.631	-0.246
0.734	3.625	-0.351
0.751	3.619	-0.366
0.767	3.613	-0.445
0.784	3.604	-0.617
0.801	3.593	-0.706
0.817	3.581	-0.728
0.834	3.568	-0.964
0.851	3.549	-1.116
0.868	3.531	-1.078
0.884	3.513	-1.341
0.901	3.486	-1.488
0.918	3.463	-1.560
0.934	3.434	-1.759
0.951	3.404	-1.777
0.968	3.375	-1.882
0.984	3.341	-1.996
1.001	3.308	-1.914
1.018	3.278	-1.862
1.034	3.246	-2.003
1.051	3.211	-2.114
1.068	3.176	-2.121
1.084	3.140	-2.212
1.101	3.102	-2.162
1.118	3.068	-2.236
1.134	3.027	-2.425
1.151	2.987	-2.381
1.168	2.948	-2.437
1.185	2.906	-2.606
1.201	2.861	-2.496
1.218	2.822	-2.509
1.235	2.777	-2.768
1.251	2.730	-2.609
1.268	2.690	-2.591
1.285	2.644	-2.838
1.301	2.595	-2.710
1.318	2.553	-2.714
1.335	2.505	-2.919
1.351	2.456	-2.698
1.368	2.415	-2.705
1.385	2.365	-2.989
1.401	2.315	-2.783
1.418	2.273	-2.829
1.435	2.221	-3.088
1.451	2.170	-2.931
1.468	2.123	-2.797
1.485	2.076	-3.033
1.502	2.022	-3.053
1.518	1.974	
